日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv
2017/4/11,0.006,0.002,0.0039
2017/4/12,-0.0051,-0.0064,0.0027
2017/4/13,0.0022,-0.002,0.0004
2017/4/14,-0.0115,-0.0077,0.0016
2017/4/17,-0.0086,-0.0116,0.0084
2017/4/18,-0.0074,-0.0062,0.0036
2017/4/19,-0.0097,-0.0086,-0.001
2017/4/20,0.0001,-0.0103,-0.0008
2017/4/21,-0.0011,-0.0016,0.0019
2017/4/24,-0.0187,-0.0169,0.0022
2017/4/25,0.0031,0.0006,-0.0027
2017/4/26,0.0024,0.0036,-0.0002
2017/4/27,0.0035,0.0053,-0.001
2017/4/28,0.0018,0.0088,-0.002
2017/5/2,-0.0024,0.0046,-0.0005
2017/5/3,-0.0037,0.0022,-0.0029
2017/5/4,-0.0027,0.0003,0.001
2017/5/5,-0.0095,-0.0048,0.0019
2017/5/8,-0.0124,-0.0103,0.0002
2017/5/9,0.0021,0.0031,-0.0037
2017/5/10,-0.0112,-0.0075,-0.0015
2017/5/11,0.0018,-0.0103,0.0093
2017/5/12,0.0049,-0.001,0.002
2017/5/15,0.0037,-0.004,-0.0024
2017/5/16,0.0126,0.0054,-0.0092
2017/5/17,-0.0021,0.008,-0.0003
2017/5/18,-0.0049,-0.0027,-0.0008
2017/5/19,0.0005,-0.0021,0.002
2017/5/22,-0.0063,-0.0153,0.0051
2017/5/23,-0.0086,-0.0233,0.0116
2017/5/24,0.0021,0.0021,0
2017/5/25,0.0131,0.0009,0.0079
2017/5/26,-0.0004,0.0016,0.0027
2017/5/31,0.0012,-0.0032,0.0054
2017/6/1,-0.0088,-0.0217,0.0127
2017/6/2,0.0027,0.0072,-0.0007
2017/6/5,-0.0011,0.0063,-0.0048
2017/6/6,0.0049,-0.0021,-0.0021
2017/6/7,0.0161,0.0061,-0.0055
2017/6/8,0.0035,-0.0038,0.0013
2017/6/9,0.0029,-0.003,-0.0018
2017/6/12,-0.0068,-0.0093,0.0091
2017/6/13,0.0072,0.0051,-0.0052
2017/6/14,-0.006,0.0081,-0.004
2017/6/15,0.0027,0.0094,-0.007
2017/6/16,-0.0018,0.0002,-0.0013
2017/6/19,0.0069,0.002,0.0002
2017/6/20,-0.0001,-0.0001,-0.0009
2017/6/21,0.0061,-0.0063,0.0006
2017/6/22,-0.0062,-0.0121,0.0052
2017/6/23,0.005,-0.0064,0.0012
2017/6/26,0.0113,-0.0011,0.0026
2017/6/27,0.0013,0.0027,-0.0003
2017/6/28,-0.0065,0.0009,0.004
