最新股票名称_Lstknm,日期_Date,日收益率_Dret,流通市值加权平均市场日收益率_Drettmv,日无风险收益率_DRfRet,
浙江震元,2018-08-14,-0.0193,-0.0050,0.000077
浙江震元,2018-08-15,-0.0493,-0.0222,0.000077
浙江震元,2018-08-16,-0.0222,-0.0102,0.000077
浙江震元,2018-08-17,-0.0364,-0.0174,0.000077
浙江震元,2018-08-20,-0.0016,0.0065,0.000078
浙江震元,2018-08-21,0.0362,0.0153,0.000078
浙江震元,2018-08-22,-0.0198,-0.0116,0.000079
浙江震元,2018-08-23,0.0016,0.0061,0.000079
浙江震元,2018-08-24,-0.0015,-0.0020,0.000079
浙江震元,2018-08-27,0.0310,0.0267,0.000079
浙江震元,2018-08-28,0.0060,0.0004,0.000079
浙江震元,2018-08-29,-0.0060,-0.0056,0.000079
浙江震元,2018-08-30,-0.0120,-0.0154,0.000079
浙江震元,2018-08-31,0.0061,-0.0104,0.000079
浙江震元,2018-09-03,0.0061,-0.0008,0.000079
浙江震元,2018-09-04,0.0180,0.0123,0.000079
浙江震元,2018-09-05,-0.0222,-0.0163,0.000078
浙江震元,2018-09-06,0.0030,-0.0082,0.000078
浙江震元,2018-09-07,-0.0030,0.0010,0.000078
浙江震元,2018-09-10,-0.0211,-0.0199,0.000078
浙江震元,2018-09-11,0.0015,0.0017,0.000078
浙江震元,2018-09-12,0.0046,-0.0057,0.000078
浙江震元,2018-09-13,0.0092,0.0075,0.000078
浙江震元,2018-09-14,-0.0015,-0.0077,0.000078
浙江震元,2018-09-17,-0.0274,-0.0156,0.000077
浙江震元,2018-09-18,0.0329,0.0176,0.000077
浙江震元,2018-09-19,0.0030,0.0142,0.000077
浙江震元,2018-09-20,-0.0076,-0.0021,0.000077
浙江震元,2018-09-21,0.0274,0.0195,0.000077
浙江震元,2018-09-25,-0.0119,-0.0058,0.000077
浙江震元,2018-09-26,-0.0015,0.0073,0.000078
浙江震元,2018-09-27,0.0015,-0.0130,0.000078
浙江震元,2018-09-28,0.0090,0.0087,0.000078
浙江震元,2018-10-08,-0.0238,-0.0410,0.000078
浙江震元,2018-10-09,0.0030,-0.0006,0.000077
浙江震元,2018-10-10,-0.0015,-0.0026,0.000077
浙江震元,2018-10-11,-0.0942,-0.0685,0.000077
浙江震元,2018-10-12,0.0017,0.0012,0.000077
浙江震元,2018-10-15,0.0000,-0.0146,0.000077
浙江震元,2018-10-16,-0.0084,-0.0205,0.000077
浙江震元,2018-10-17,-0.0017,0.0088,0.000077
浙江震元,2018-10-18,-0.0338,-0.0293,0.000078
浙江震元,2018-10-19,0.0263,0.0273,0.000078
浙江震元,2018-10-22,0.0375,0.0527,0.000079
浙江震元,2018-10-23,-0.0148,-0.0211,0.000080
浙江震元,2018-10-24,0.0017,-0.0028,0.000080
浙江震元,2018-10-25,0.0050,-0.0038,0.000081
浙江震元,2018-10-26,-0.0033,-0.0007,0.000081
浙江震元,2018-10-29,-0.0083,-0.0219,0.000081
浙江震元,2018-10-30,0.0084,0.0095,0.000081
浙江震元,2018-10-31,0.0116,0.0149,0.000081
浙江震元,2018-11-01,0.0000,0.0102,0.000082
浙江震元,2018-11-02,0.0230,0.0368,0.000082
浙江震元,2018-11-05,0.0032,0.0006,0.000082
浙江震元,2018-11-06,0.0016,-0.0043,0.000082
浙江震元,2018-11-07,-0.0016,-0.0039,0.000082
浙江震元,2018-11-08,-0.0080,-0.0046,0.000082
浙江震元,2018-11-09,0.0032,-0.0046,0.000082
浙江震元,2018-11-12,0.0177,0.0264,0.000082
浙江震元,2018-11-13,0.0190,0.0181,0.000082
浙江震元,2018-11-14,0.0047,-0.0045,0.000082
浙江震元,2018-11-15,0.0139,0.0139,0.000082
